,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,"2009, preliminary",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,"2009, preliminary",1980,1990,2000,2005,2008,"2009, preliminary"
Maine ,ME,23,"7,450","8,125","8,715","9,403","10,421","11,114","11,889","12,677","13,735","14,707","15,222","15,558","16,305","16,738","17,457","18,197","19,105","19,896","21,153","22,010","23,227","24,627","25,794","27,001","28,455","28,676","30,111","31,209","32,665","33,859","15,980","16,017","16,278","16,839","17,981","18,569","19,391","19,936","20,773","21,316","21,099","20,812","21,188","21,284","21,749","22,180","22,791","23,299","24,537","25,127","25,872","26,918","27,814","28,536","29,305","28,676","29,306","29,581","29,959","30,993",84.9,89.6,89.5,91.5,92.1,95.2
Maryland ,MD,24,"9,488","10,362","11,284","12,257","13,456","14,587","15,457","16,239","17,651","18,557","19,420","20,114","20,923","21,490","22,278","22,900","23,692","24,424","26,036","27,232","29,231","30,714","32,121","33,328","35,498","36,854","38,853","40,234","41,642","43,125","20,351","20,427","21,077","21,949","23,218","24,371","25,210","25,537","26,695","26,897","26,917","26,907","27,189","27,326","27,756","27,913","28,263","28,601","30,202","31,088","32,560","33,572","34,637","35,222","36,559","36,854","37,815","38,136","38,193","39,475",108.1,114.3,112.6,117.6,117.4,121.3
Massachusetts ,MA,25,"9,021","9,933","11,034","11,990","13,519","14,432","15,387","16,483","18,198","18,931","19,549","20,154","21,166","21,752","22,729","23,664","24,786","25,914","27,400","28,570","30,786","32,355","33,937","34,781","36,472","37,559","40,327","41,804","43,306","44,163","19,350","19,581","20,610","21,471","23,327","24,112","25,096","25,921","27,522","27,439","27,096","26,960","27,505","27,659","28,317","28,844","29,568","30,346","31,784","32,616","34,292","35,365","36,595","36,758","37,562","37,559","39,249","39,624","39,719","40,425",102.8,115.1,118.6,119.8,122.1,124.2
Michigan ,MI,26,"8,961","9,611","10,130","10,761","11,937","12,807","13,555","13,895","14,768","15,726","16,368","16,833","17,880","18,484","19,787","20,407","21,013","21,840","23,062","23,861","25,285","26,034","26,775","28,014","28,516","28,916","29,684","30,370","31,343","31,309","19,221","18,946","18,921","19,270","20,597","21,397","22,108","21,851","22,335","22,793","22,687","22,518","23,235","23,504","24,652","24,874","25,067","25,575","26,752","27,240","28,164","28,456","28,872","29,606","29,368","28,916","28,891","28,786","28,747","28,659",102.1,96.4,97.4,92.3,88.4,88.1
Minnesota ,MN,27,"8,810","9,663","10,380","10,975","12,487","13,164","13,900","14,590","15,151","16,341","17,123","17,591","18,570","18,755","19,982","20,880","22,141","23,136","24,932","26,239","27,780","28,564","29,747","31,163","32,871","33,291","34,923","36,202","37,599","37,493","18,897","19,049","19,388","19,654","21,546","21,994","22,671","22,944","22,914","23,685","23,733","23,532","24,131","23,848","24,895","25,451","26,413","27,093","28,921","29,955","30,943","31,222","32,077","32,934","33,853","33,291","33,990","34,314","34,485","34,319",100.4,100.8,107.0,106.2,106.0,105.5
Mississippi ,MS,28,"6,303","7,004","7,487","7,762","8,540","8,975","9,303","9,841","10,581","11,379","11,938","12,573","13,411","14,077","15,022","15,605","16,381","17,063","17,997","18,539","19,491","20,702","21,244","22,170","23,357","24,806","25,764","27,099","27,994","28,221","13,520","13,807","13,984","13,900","14,736","14,995","15,173","15,476","16,002","16,493","16,547","16,819","17,427","17,900","18,716","19,021","19,542","19,981","20,876","21,164","21,710","22,628","22,908","23,430","24,055","24,806","25,075","25,686","25,675","25,832",71.8,70.3,75.1,79.1,78.9,79.4
Missouri ,MO,29,"8,124","9,024","9,611","10,436","11,556","12,238","12,814","13,366","14,099","14,915","15,492","16,280","17,218","17,742","18,653","19,287","20,130","21,089","22,181","22,866","24,335","24,989","26,107","27,268","28,429","28,880","30,288","31,162","32,487","32,623","17,426","17,789","17,952","18,688","19,940","20,446","20,899","21,019","21,323","21,618","21,473","21,778","22,374","22,560","23,239","23,509","24,014","24,696","25,730","26,104","27,106","27,314","28,152","28,818","29,279","28,880","29,479","29,537","29,796","29,862",92.5,91.2,93.8,92.1,91.6,91.8
Montana ,MT,30,"7,936","8,980","9,476","9,899","10,440","10,571","11,211","11,570","11,862","12,972","13,693","14,588","15,107","15,955","16,068","16,599","17,198","17,815","19,069","19,547","20,781","22,536","23,220","24,607","26,103","27,192","28,850","30,163","31,035","31,123","17,022","17,702","17,700","17,727","18,014","17,661","18,285","18,195","17,940","18,802","18,979","19,514","19,631","20,288","20,019","20,233","20,516","20,862","22,120","22,315","23,147","24,633","25,039","26,006","26,883","27,192","28,079","28,590","28,464","28,489",90.4,80.6,80.1,86.8,87.5,87.5
Nebraska ,NE,31,"8,010","9,337","9,880","10,489","11,777","12,414","12,841","13,436","14,302","14,987","15,996","16,565","17,384","17,742","18,788","19,569","21,203","21,430","22,711","23,727","25,070","26,342","27,266","29,252","30,287","30,997","31,971","33,711","35,159","34,824","17,181","18,406","18,454","18,783","20,321","20,740","20,943","21,129","21,630","21,722","22,171","22,159","22,590","22,560","23,407","23,853","25,294","25,095","26,345","27,087","27,925","28,793","29,402","30,915","31,192","30,997","31,117","31,953","32,247","31,876",91.2,94.2,96.6,98.9,99.1,97.9
Nevada ,NV,32,"10,279","11,151","11,603","12,137","12,963","13,605","14,169","14,728","15,850","16,818","17,562","18,399","19,541","20,109","21,136","22,038","22,957","23,787","24,943","25,814","26,882","27,245","27,885","29,372","31,580","33,735","34,706","36,353","36,804","35,611","22,048","21,982","21,672","21,735","22,367","22,730","23,109","23,161","23,971","24,376","24,342","24,612","25,393","25,570","26,333","26,862","27,386","27,855","28,934","29,469","29,943","29,780","30,069","31,041","32,524","33,735","33,778","34,457","33,756","32,597",117.1,103.4,103.6,107.6,103.8,100.2
New Hampshire ,NH,33,"8,664","9,667","10,667","11,582","12,906","13,867","14,795","15,894","17,133","17,917","18,016","18,898","19,636","19,951","21,176","22,192","23,656","24,059","25,923","26,934","29,273","30,066","31,436","32,293","34,157","34,536","36,645","37,981","38,988","39,436","18,584","19,057","19,924","20,741","22,269","23,168","24,130","24,995","25,912","25,969","24,971","25,280","25,517","25,369","26,383","27,050","28,220","28,174","30,071","30,748","32,606","32,863","33,898","34,128","35,178","34,536","35,666","36,000","35,759","36,098",98.7,106.1,112.8,110.2,109.9,110.9
New Jersey ,NJ,34,"10,053","11,149","12,029","13,059","14,408","15,192","16,067","17,056","18,816","20,102","21,163","21,607","22,974","23,335","23,935","25,242","26,445","27,690","29,017","29,748","32,333","33,367","34,648","35,504","37,278","38,153","41,264","42,951","44,397","44,893","21,563","21,978","22,468","23,386","24,861","25,382","26,205","26,822","28,457","29,136","29,333","28,904","29,854","29,672","29,820","30,768","31,547","32,426","33,660","33,960","36,015","36,471","37,362","37,522","38,392","38,153","40,161","40,711","40,720","41,093",114.5,124.6,124.6,121.7,125.2,126.3
New Mexico ,NM,35,"7,467","8,226","8,764","9,443","10,204","10,837","11,128","11,386","11,926","12,568","13,313","14,040","14,674","15,334","15,973","16,757","17,294","17,799","18,786","19,100","20,200","22,197","22,699","23,526","24,981","26,242","27,515","28,881","30,299","30,604","16,016","16,216","16,370","16,910","17,607","18,106","18,149","17,906","18,037","18,216","18,453","18,781","19,069","19,498","19,900","20,425","20,631","20,843","21,792","21,805","22,500","24,262","24,477","24,863","25,728","26,242","26,780","27,375","27,789","28,014",85.1,78.4,77.8,83.7,85.4,86.1
New York ,NY,36,"9,395","10,385","11,264","12,272","13,566","14,357","15,258","16,076","17,762","18,903","20,371","20,471","21,351","21,595","22,218","23,292","24,285","25,401","26,324","27,104","28,623","29,013","30,169","31,177","33,020","34,601","36,940","39,545","40,909","41,068","20,152","20,472","21,039","21,976","23,408","23,987","24,885","25,281","26,863","27,398","28,235","27,384","27,745","27,460","27,681","28,391","28,971","29,745","30,536","30,942","31,882","31,712","32,532","32,949","34,007","34,601","35,953","37,483","37,521","37,592",107.0,119.9,110.3,110.4,115.4,115.5
North Carolina ,NC,37,"7,160","7,984","8,605","9,277","10,446","11,138","11,840","12,488","13,533","14,417","15,145","15,662","16,764","17,454","18,213","19,036","19,941","20,924","21,960","22,902","24,253","24,735","25,287","25,972","27,499","28,545","29,716","30,654","31,258","31,443","15,358","15,739","16,073","16,613","18,024","18,609","19,311","19,639","20,467","20,896","20,992","20,951","21,784","22,194","22,691","23,203","23,789","24,503","25,474","26,145","27,015","27,036","27,268","27,448","28,321","28,545","28,922","29,055","28,669","28,782",81.6,89.2,93.4,91.1,88.1,88.4
North Dakota ,ND,38,"6,920","9,058","9,902","10,349","11,163","11,592","11,920","12,379","11,407","12,999","14,380","14,632","16,055","15,999","17,394","17,147","19,296","18,728","20,925","21,185","23,121","24,027","25,037","27,490","28,010","29,681","30,501","33,069","36,272","36,496","14,843","17,856","18,495","18,533","19,261","19,367","19,441","19,467","17,252","18,841","19,932","19,573","20,863","20,344","21,671","20,901","23,019","21,931","24,273","24,185","25,754","26,262","26,998","29,052","28,847","29,681","29,686","31,344","33,268","33,407",78.8,84.7,89.1,94.7,102.3,102.7
Ohio ,OH,39,"8,746","9,476","10,075","10,709","11,891","12,567","13,138","13,606","14,563","15,469","16,341","16,737","17,672","18,191","19,173","19,833","20,441","21,564","22,808","23,597","24,757","25,355","26,272","27,323","28,148","28,738","30,014","30,954","31,875","32,255","18,760","18,680","18,818","19,177","20,518","20,996","21,428","21,397","22,025","22,421","22,650","22,389","22,964","23,131","23,887","24,174","24,385","25,252","26,457","26,938","27,576","27,714","28,330","28,876","28,989","28,738","29,212","29,340","29,235","29,525",99.6,96.2,95.4,91.7,89.9,90.7
Oklahoma ,OK,40,"8,260","9,391","10,070","10,333","11,213","11,713","12,103","12,070","12,702","13,552","14,170","14,630","15,447","15,905","16,463","16,939","17,717","18,442","19,345","20,077","21,723","23,214","23,613","24,444","26,216","27,435","29,718","30,503","32,248","32,370","17,717","18,512","18,809","18,504","19,348","19,569","19,740","18,981","19,210","19,642","19,640","19,571","20,073","20,224","20,511","20,647","21,135","21,596","22,440","22,920","24,197","25,374","25,463","25,833","27,000","27,435","28,924","28,912","29,577","29,630",94.1,83.4,83.7,87.5,90.9,91.0
Oregon ,OR,41,"8,705","9,365","9,668","10,411","11,310","11,808","12,298","12,882","13,972","14,739","15,709","16,157","16,780","17,502","18,443","19,631","20,585","21,372","22,427","23,192","24,536","25,245","26,340","27,247","28,149","28,503","30,256","31,362","31,798","32,246","18,672","18,461","18,058","18,644","19,515","19,728","20,058","20,258","21,131","21,363","21,774","21,613","21,805","22,255","22,978","23,928","24,557","25,027","26,015","26,476","27,330","27,594","28,403","28,796","28,990","28,503","29,447","29,726","29,164","29,517",99.2,92.5,94.5,90.9,89.7,90.7
