,,,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"2010, preliminary",1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"2010, preliminary",Income rank,,,
Ohio ,OH,39,"9,172","10,022","10,922","11,470","12,173","13,437","14,249","14,873","15,529","16,549","17,672","18,638","19,013","20,025","20,676","21,818","22,653","23,545","24,912","26,418","27,293","28,694",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"36,395","21,777","21,488","21,496","21,393","21,767","23,152","23,773","24,224","24,421","25,028","25,614","25,833","25,434","26,022","26,291","27,182","27,612","28,088","29,173","30,645","31,158","31,961",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"32,754",21,21,24,34
Oklahoma ,OK,40,"8,395","9,487","10,943","11,816","11,737","12,618","13,171","13,312","13,455","14,166","15,192","16,077","16,434","17,269","17,772","18,427","18,973","19,936","20,899","21,949","22,757","24,605",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"36,421","19,932","20,340","21,537","22,039","20,988","21,741","21,974","21,681","21,159","21,424","22,019","22,284","21,984","22,441","22,598","22,958","23,126","23,783","24,473","25,461","25,979","27,407",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"32,777",28,37,42,33
Oregon ,OR,41,"9,295","10,086","10,802","11,116","11,849","12,811","13,429","14,059","14,724","15,776","16,956","17,895","18,469","19,201","20,077","21,219","22,531","23,751","24,854","26,016","27,016","28,718",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"37,095","22,069","21,625","21,260","20,733","21,188","22,073","22,405","22,898","23,155","23,859","24,576","24,804","24,706","24,951","25,529","26,436","27,463","28,334","29,105","30,179","30,842","31,988",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"33,384",18,26,23,30
Pennsylvania ,PA,42,"9,142","10,040","11,100","11,880","12,448","13,468","14,318","15,017","15,857","17,067","18,412","19,433","20,171","21,050","21,655","22,355","23,226","24,384","25,566","27,367","28,348","30,110",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"41,152","21,706","21,526","21,846","22,158","22,259","23,205","23,888","24,458","24,937","25,812","26,686","26,935","26,983","27,354","27,536","27,851","28,310","29,089","29,939","31,746","32,362","33,539",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"37,035",20,18,16,16
Rhode Island ,RI,44,"8,497","9,645","10,733","11,540","12,389","13,629","14,538","15,445","16,387","17,909","19,389","19,821","19,981","20,820","21,600","22,199","23,364","24,299","25,621","26,945","27,741","29,484",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"42,579","20,174","20,679","21,124","21,524","22,154","23,483","24,255","25,155","25,770","27,085","28,102","27,473","26,729","27,055","27,466","27,657","28,478","28,987","30,003","31,256","31,669","32,841",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"38,319",26,14,17,15
South Carolina ,SC,45,"6,988","7,736","8,606","9,078","9,790","10,900","11,590","12,194","12,939","13,906","14,931","15,844","16,256","17,010","17,651","18,579","19,384","20,359","21,287","22,573","23,550","25,081",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"33,163","16,591","16,586","16,938","16,932","17,506","18,781","19,337","19,860","20,348","21,031","21,641","21,961","21,746","22,104","22,444","23,147","23,627","24,287","24,928","26,185","26,885","27,937",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"29,845",48,40,39,45
South Dakota ,SD,46,"8,059","8,054","9,410","9,946","10,293","11,621","11,898","12,452","13,133","13,631","14,653","16,075","16,666","17,740","18,248","19,503","19,610","21,672","22,085","23,736","24,816","26,427",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"38,865","19,134","17,268","18,520","18,551","18,406","20,023","19,851","20,280","20,653","20,615","21,238","22,281","22,294","23,053","23,204","24,298","23,903","25,854","25,862","27,534","28,330","29,436",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"34,977",45,38,36,25
Tennessee ,TN,47,"7,555","8,227","9,120","9,696","10,293","11,413","12,152","12,895","13,754","14,783","15,718","16,574","17,242","18,527","19,331","20,283","21,339","22,136","23,031","24,462","25,370","26,691",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,307","17,938","17,639","17,949","18,084","18,406","19,665","20,274","21,002","21,630","22,357","22,782","22,973","23,065","24,075","24,581","25,270","26,010","26,407","26,970","28,376","28,963","29,730",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"31,775",41,36,35,39
Texas ,TX,48,"8,832","9,870","11,320","11,965","12,348","13,377","14,110","14,182","14,453","15,245","16,165","17,260","17,763","18,765","19,413","20,161","21,070","22,260","23,812","25,376","26,399","28,504",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"39,493","20,970","21,162","22,279","22,317","22,080","23,049","23,541","23,098","22,729","23,056","23,430","23,923","23,762","24,385","24,685","25,118","25,682","26,555","27,885","29,436","30,137","31,750",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"35,542",24,32,27,23
Utah ,UT,49,"7,792","8,492","9,347","9,953","10,506","11,371","11,926","12,322","12,652","13,162","13,941","14,847","15,479","16,135","16,845","17,775","18,765","19,899","21,001","22,188","22,943","24,517",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"32,595","18,500","18,207","18,396","18,564","18,787","19,592","19,897","20,069","19,897","19,906","20,206","20,579","20,706","20,967","21,420","22,145","22,873","23,738","24,593","25,738","26,192","27,309",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"29,334",37,46,43,48
Vermont ,VT,50,"7,756","8,599","9,650","10,324","10,930","11,977","12,867","13,731","14,755","15,822","17,195","17,643","17,869","18,941","19,446","20,255","21,057","22,106","23,168","24,921","26,268","28,183",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"40,283","18,415","18,437","18,992","19,256","19,545","20,636","21,467","22,364","23,204","23,929","24,922","24,454","23,903","24,613","24,727","25,235","25,666","26,371","27,130","28,908","29,988","31,392",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),"36,253",36,27,29,19
