"location","variable","Unit","Date","Value"
"Belarus","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",1657
"Belarus","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",1442
"Belarus","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",1318
"Belarus","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",1158
"Belarus","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",1003
"Belarus","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",907
"Bulgaria","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",3806
"Bulgaria","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",3711
"Bulgaria","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",3656
"Bulgaria","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",2976
"Bulgaria","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",3173
"Bulgaria","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",3216
"Bulgaria","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",3122
"Bulgaria","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",3038
"Bulgaria","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",2462
"Bulgaria","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",2410
"Bulgaria","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",2470
"Czech Republic","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",23579
"Czech Republic","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",21684
"Czech Republic","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",19171
"Czech Republic","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",19551
"Czech Republic","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",17875
"Czech Republic","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",16887
"Czech Republic","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",18073
"Czech Republic","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",19409
"Czech Republic","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",18358
"Czech Republic","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",18689
"Hungary","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",11442
"Hungary","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",12514
"Hungary","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",12339
"Hungary","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",11516
"Hungary","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",11148
"Hungary","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",12757
"Hungary","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",12405
"Hungary","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",14536
"Hungary","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",14203
"Hungary","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",13957
"Hungary","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",13370
"Poland","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",552
"Poland","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",553
"Poland","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",604
"Poland","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",522
"Poland","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",532
"Poland","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",579
"Poland","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",466
"Republic of Moldova","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",1223
"Republic of Moldova","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",1232
"Republic of Moldova","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",395
"Republic of Moldova","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",409
"Republic of Moldova","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",408
"Republic of Moldova","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",385
"Republic of Moldova","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",369
"Republic of Moldova","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",416
"Republic of Moldova","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",360
"Republic of Moldova","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",325
"Republic of Moldova","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",324
"Romania","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",9641
"Romania","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",9201
"Romania","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",8898
"Romania","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",9459
"Romania","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",9586
"Romania","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",9457
"Romania","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",9072
"Romania","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",12301
"Romania","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",12299
"Romania","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",17219
"Romania","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",17572
"Russian Federation","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",57453
