"location","variable","Unit","Date","Value"
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",9.20091058
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",9.96579911
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",11.60569888
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",10.98052441
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",12.4594838
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",13.121095
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",12.84695266
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",11.34957843
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",14.55241043
"Russian Federation","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",14.04919321
"Romania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",7.24010345
"Romania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",7.08351343
"Romania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",6.07549265
"Romania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",6.79734525
"Romania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",7.32431534
"Romania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",7.12953658
"Romania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",7.10848691
"Slovakia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",2.91731182
"Slovakia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",2.64426048
"Slovakia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",4.30127055
"Slovakia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",3.55207947
"Slovakia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",4.23959695
"Slovakia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",4.65336666
"Slovakia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",5.24326916
"Slovakia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",5.42018655
"Ukraine","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",2.927239
"Ukraine","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",3.66997811
"Ukraine","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",4.29389159
"Ukraine","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",4.09241935
"Ukraine","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",4.55998269
"Ukraine","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",4.18963167
"Ukraine","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",4.51021998
"Ukraine","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",4.06831834
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",161.49557971
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",144.77943391
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",138.88941301
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",127.24715898
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",124.75391349
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",121.68213881
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",128.33157215
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",144.05129516
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",131.03193002
"United Kingdom (Scotland)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",126.7311412
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",99.31481592
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",81.55169549
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",79.36493807
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",81.45276555
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",79.11245164
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",74.62022512
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",88.03123828
"United Kingdom (England and Wales)","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",92.18511176
