"AGE","GEO","SEX","TIME","VALUE","FLAGS","FOOTNOTES"
"Y65-84","HU","M","2011","574017","",""
"Y_GE85","HU","M","2011","43539","",""
"Y50-64","HU","F","2011","1120042","",""
"Y_LT15","HU","F","2011","704414","",""
"TOTAL","HU","T","2011","9937628","",""
"Y65-84","HU","T","2011","1512103","",""
"Y65-84","HU","F","2011","938086","",""
"Y30-49","HU","T","2011","2897106","",""
"TOTAL","HU","M","2011","4718479","",""
"Y50-64","HU","T","2011","2092673","",""
"Y_LT15","HU","M","2011","743245","",""
"Y30-49","HU","F","2011","1443411","",""
"Y_GE85","HU","T","2011","165017","",""
"Y15-29","HU","F","2011","891718","",""
"TOTAL","HU","F","2011","5219149","",""
"Y_GE85","HU","F","2011","121478","",""
"Y15-29","HU","M","2011","931352","",""
"Y_LT15","HU","T","2011","1447659","",""
"Y50-64","SI","T","2011","428300","",""
"Y30-49","SI","F","2011","297478","",""
"Y65-84","SI","T","2011","304846","",""
"Y65-84","SI","M","2011","126241","",""
"Y50-64","SI","M","2011","216120","",""
"Y_LT15","SI","M","2011","149702","",""
"TOTAL","SI","M","2011","1014563","",""
"Y_GE85","SI","T","2011","34098","",""
"Y50-64","SI","F","2011","212180","",""
"Y30-49","SI","T","2011","616727","",""
"TOTAL","SI","F","2011","1035626","",""
"Y_GE85","SI","F","2011","26163","",""
"Y_GE85","SI","M","2011","7935","",""
"Y15-29","SI","M","2011","195316","",""
"Y15-29","SI","T","2011","375365","",""
"Y15-29","SI","F","2011","180049","",""
"Y_LT15","SI","F","2011","141151","",""
"TOTAL","SI","T","2011","2050189","",""
"Y30-49","SI","M","2011","319249","",""
"Y_LT15","SI","T","2011","290853","",""
"Y65-84","SI","F","2011","178605","",""
"TOTAL","ES","M","2011","23104350","",""
"Y15-29","ES","M","2011","3972895","",""
"TOTAL","ES","F","2011","23711560","",""
"Y_LT15","ES","F","2011","3428360","",""
"TOTAL","ES","T","2011","46815910","",""
"Y_LT15","ES","T","2011","7069260","",""
"Y50-64","ES","T","2011","8394540","",""
"Y30-49","ES","T","2011","15430055","",""
"Y_GE85","ES","F","2011","730525","",""
"Y_GE85","ES","T","2011","1083495","",""
"Y65-84","ES","T","2011","7032320","",""
"Y30-49","ES","M","2011","7885330","",""
"Y15-29","ES","T","2011","7806240","",""
"Y_LT15","ES","M","2011","3640900","",""
"Y15-29","ES","F","2011","3833345","",""
"Y50-64","ES","F","2011","4259365","",""
"Y65-84","ES","F","2011","3915235","",""
"Y50-64","ES","M","2011","4135175","",""
"Y_GE85","ES","M","2011","352970","",""
"Y30-49","ES","F","2011","7544730","",""
"Y65-84","ES","M","2011","3117085","",""
"Y50-64","LV","M","2011","179291","",""
"Y_GE85","LV","T","2011","33359","",""
"TOTAL","LV","T","2011","2070371","",""
"Y30-49","LV","M","2011","277337","",""
"Y50-64","LV","F","2011","226848","",""
"Y65-84","LV","M","2011","116855","",""
"Y_LT15","LV","M","2011","150506","",""
"Y65-84","LV","F","2011","230242","",""
"Y_GE85","LV","F","2011","27234","",""
"Y50-64","LV","T","2011","406139","",""
"Y30-49","LV","F","2011","289046","",""
"Y30-49","LV","T","2011","566383","",""
"Y_LT15","LV","F","2011","143644","",""
"Y65-84","LV","T","2011","347097","",""
"Y15-29","LV","M","2011","215988","",""
"Y_GE85","LV","M","2011","6125","",""
"Y15-29","LV","T","2011","423243","",""
"TOTAL","LV","F","2011","1124269","",""
"TOTAL","LV","M","2011","946102","",""
"Y_LT15","LV","T","2011","294150","",""
"Y15-29","LV","F","2011","207255","",""
"TOTAL","DE","F","2011","41073754","",""
"Y30-49","DE","T","2011","22845672","",""
"Y65-84","DE","M","2011","6539161","",""
"Y_LT15","DE","T","2011","10805291","",""
"Y15-29","DE","M","2011","6976972","",""
"Y50-64","DE","T","2011","16328559","",""
"Y50-64","DE","M","2011","8081342","",""
"Y65-84","DE","F","2011","8093795","",""
"Y30-49","DE","F","2011","11325577","",""
"TOTAL","DE","M","2011","39145941","",""
"TOTAL","DE","T","2011","80219695","",""
"Y_LT15","DE","F","2011","5260090","",""
"Y15-29","DE","F","2011","6745080","",""
"Y15-29","DE","T","2011","13722052","",""
"Y50-64","DE","F","2011","8247217","",""
"Y_GE85","DE","M","2011","483170","",""
"Y65-84","DE","T","2011","14632956","",""
"Y_GE85","DE","F","2011","1401995","",""
