iccs,leg_stat,sex,unit,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,T,P_HTHAB,XK	: 	: 	5.02 	3.44 	3.53 	2.60 
ICCS0101,PER_PRSC,F,NR,AL	7 	6 	6 	5 	4 	2 
ICCS0101,PER_PRSC,F,NR,AT	68 	92 	95 	106 	94 	60 
ICCS0101,PER_PRSC,F,NR,BA	13 	8 	10 	: 	: 	: 
ICCS0101,PER_PRSC,F,NR,BE	78 	73 	77 	56 	55 	63 
ICCS0101,PER_PRSC,F,NR,BG	10 	8 	9 	10 	: 	: 
ICCS0101,PER_PRSC,F,NR,CY	0 	1 	0 	2 	0 	1 
ICCS0101,PER_PRSC,F,NR,CZ	: 	: 	: 	: 	23 	19 
ICCS0101,PER_PRSC,F,NR,DE	59 	80 	: 	: 	: 	: 
ICCS0101,PER_PRSC,F,NR,FI	14 	7 	14 	10 	14 	8 
ICCS0101,PER_PRSC,F,NR,FR	183 	196 	242 	: 	: 	: 
ICCS0101,PER_PRSC,F,NR,HR	0 	0 	0 	0 	0 	1 
ICCS0101,PER_PRSC,F,NR,HU	46 	33 	40 	44 	20 	26 
ICCS0101,PER_PRSC,F,NR,IS	0 	0 	: 	: 	: 	: 
ICCS0101,PER_PRSC,F,NR,IT	: 	42 	30 	39 	34 	49 
ICCS0101,PER_PRSC,F,NR,LI	: 	0 	0 	1 	: 	: 
ICCS0101,PER_PRSC,F,NR,LT	20 	18 	23 	28 	20 	28 
ICCS0101,PER_PRSC,F,NR,LU	: 	: 	0 	4 	3 	3 
ICCS0101,PER_PRSC,F,NR,LV	10 	9 	2 	20 	9 	: 
ICCS0101,PER_PRSC,F,NR,ME	1 	: 	: 	: 	: 	: 
ICCS0101,PER_PRSC,F,NR,MK	1 	7 	4 	3 	3 	5 
ICCS0101,PER_PRSC,F,NR,MT	0 	0 	1 	: 	0 	: 
ICCS0101,PER_PRSC,F,NR,NO	5 	3 	2 	3 	0 	4 
ICCS0101,PER_PRSC,F,NR,PL	: 	: 	80 	: 	: 	: 
ICCS0101,PER_PRSC,F,NR,PT	21 	13 	18 	9 	13 	12 
ICCS0101,PER_PRSC,F,NR,RO	26 	19 	20 	32 	29 	40 
ICCS0101,PER_PRSC,F,NR,RS	63 	: 	: 	: 	: 	: 
ICCS0101,PER_PRSC,F,NR,UKC-L	42 	46 	59 	57 	52 	55 
ICCS0101,PER_PRSC,F,NR,UKM	7 	3 	10 	9 	7 	6 
ICCS0101,PER_PRSC,F,NR,UKN	1 	1 	2 	6 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,AL	: 	: 	0.43 	: 	0.25 	0.13 
ICCS0101,PER_PRSC,F,P_HTHAB,AT	1.57 	2.13 	2.21 	2.47 	2.20 	1.41 
ICCS0101,PER_PRSC,F,P_HTHAB,BA	: 	0.41 	0.51 	: 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,BE	1.37 	1.29 	1.38 	1.01 	1.00 	1.16 
ICCS0101,PER_PRSC,F,P_HTHAB,BG	0.27 	0.21 	0.24 	0.26 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,CY	0.00 	0.23 	0.00 	0.48 	0.00 	0.25 
ICCS0101,PER_PRSC,F,P_HTHAB,CZ	: 	: 	: 	: 	0.43 	0.36 
ICCS0101,PER_PRSC,F,P_HTHAB,DE	0.14 	0.19 	: 	: 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,FI	0.51 	0.25 	0.51 	0.37 	0.52 	0.30 
ICCS0101,PER_PRSC,F,P_HTHAB,FR	0.54 	0.58 	0.72 	: 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,HR	0.00 	0.00 	0.00 	0.00 	0.00 	0.04 
ICCS0101,PER_PRSC,F,P_HTHAB,HU	0.89 	0.63 	0.76 	0.84 	0.38 	0.49 
ICCS0101,PER_PRSC,F,P_HTHAB,IS	0.00 	0.00 	: 	: 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,IT	: 	0.14 	0.10 	0.13 	0.11 	0.16 
ICCS0101,PER_PRSC,F,P_HTHAB,LI	: 	0.00 	0.00 	5.52 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,LT	1.25 	1.11 	1.40 	1.66 	1.17 	1.62 
ICCS0101,PER_PRSC,F,P_HTHAB,LU	: 	: 	0.00 	1.58 	1.21 	1.23 
ICCS0101,PER_PRSC,F,P_HTHAB,LV	0.91 	0.81 	0.18 	1.74 	0.77 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,ME	0.32 	: 	: 	: 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,MK	0.10 	0.68 	0.39 	0.29 	0.29 	0.49 
ICCS0101,PER_PRSC,F,P_HTHAB,MT	0.00 	0.00 	0.48 	: 	0.00 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,NO	0.20 	0.12 	0.08 	0.12 	0.00 	0.17 
ICCS0101,PER_PRSC,F,P_HTHAB,PL	: 	: 	0.41 	: 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,PT	0.38 	0.24 	0.33 	0.16 	0.24 	0.22 
ICCS0101,PER_PRSC,F,P_HTHAB,RO	0.25 	0.18 	0.19 	0.31 	0.28 	0.38 
ICCS0101,PER_PRSC,F,P_HTHAB,RS	1.71 	: 	: 	: 	: 	: 
ICCS0101,PER_PRSC,F,P_HTHAB,UKC-L	0.15 	0.16 	0.21 	0.20 	0.19 	0.20 
ICCS0101,PER_PRSC,F,P_HTHAB,UKM	0.26 	0.11 	0.37 	0.33 	0.26 	0.22 
ICCS0101,PER_PRSC,F,P_HTHAB,UKN	0.11 	0.11 	0.22 	0.65 	: 	: 
ICCS0101,PER_PRSC,M,NR,AL	203 	148 	152 	125 	155 	152 
ICCS0101,PER_PRSC,M,NR,AT	315 	351 	342 	357 	412 	270 
ICCS0101,PER_PRSC,M,NR,BA	84 	89 	102 	: 	: 	: 
ICCS0101,PER_PRSC,M,NR,BE	348 	329 	315 	305 	310 	326 
ICCS0101,PER_PRSC,M,NR,BG	95 	136 	115 	137 	: 	: 
ICCS0101,PER_PRSC,M,NR,CY	23 	11 	7 	23 	7 	3 
ICCS0101,PER_PRSC,M,NR,CZ	: 	: 	: 	: 	154 	158 
ICCS0101,PER_PRSC,M,NR,DE	640 	659 	: 	: 	: 	: 
ICCS0101,PER_PRSC,M,NR,FI	56 	64 	75 	69 	60 	91 
ICCS0101,PER_PRSC,M,NR,FR	2028 	2017 	1814 	: 	: 	: 
ICCS0101,PER_PRSC,M,NR,HR	0 	2 	1 	1 	0 	3 
ICCS0101,PER_PRSC,M,NR,HU	220 	192 	238 	202 	117 	119 
ICCS0101,PER_PRSC,M,NR,IS	1 	1 	: 	: 	: 	1 
ICCS0101,PER_PRSC,M,NR,IT	: 	691 	728 	633 	783 	845 
ICCS0101,PER_PRSC,M,NR,LI	: 	0 	0 	1 	: 	: 
ICCS0101,PER_PRSC,M,NR,LT	160 	171 	203 	233 	248 	235 
ICCS0101,PER_PRSC,M,NR,LU	: 	: 	5 	7 	3 	10 
ICCS0101,PER_PRSC,M,NR,LV	72 	45 	32 	101 	93 	: 
ICCS0101,PER_PRSC,M,NR,ME	10 	: 	: 	: 	: 	: 
ICCS0101,PER_PRSC,M,NR,MK	64 	72 	67 	68 	78 	104 
ICCS0101,PER_PRSC,M,NR,MT	5 	5 	0 	: 	4 	: 
ICCS0101,PER_PRSC,M,NR,NO	21 	21 	28 	40 	18 	21 
ICCS0101,PER_PRSC,M,NR,PL	: 	: 	569 	: 	: 	: 
ICCS0101,PER_PRSC,M,NR,PT	143 	166 	157 	148 	192 	180 
ICCS0101,PER_PRSC,M,NR,RO	304 	269 	285 	393 	371 	373 
ICCS0101,PER_PRSC,M,NR,RS	315 	: 	: 	: 	: 	: 
ICCS0101,PER_PRSC,M,NR,UKC-L	443 	494 	562 	562 	599 	649 
ICCS0101,PER_PRSC,M,NR,UKM	49 	64 	58 	53 	55 	67 
ICCS0101,PER_PRSC,M,NR,UKN	24 	25 	20 	29 	: 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,AL	: 	: 	10.69 	: 	9.78 	9.57 
ICCS0101,PER_PRSC,M,P_HTHAB,AT	7.64 	8.56 	8.38 	8.78 	10.16 	6.68 
ICCS0101,PER_PRSC,M,P_HTHAB,BA	: 	4.75 	5.43 	: 	: 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,BE	6.34 	6.03 	5.83 	5.74 	5.88 	6.24 
ICCS0101,PER_PRSC,M,P_HTHAB,BG	2.68 	3.81 	3.20 	3.79 	: 	: 
ICCS0101,PER_PRSC,M,P_HTHAB,CY	5.46 	2.63 	1.71 	5.76 	1.80 	0.79 
ICCS0101,PER_PRSC,M,P_HTHAB,CZ	: 	: 	: 	: 	3.01 	3.12 
ICCS0101,PER_PRSC,M,P_HTHAB,DE	1.59 	1.64 	: 	: 	: 	: 
